--- Startup times for process: Primary (or UI client) ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
036.505  000.061  000.061: require('blink.cmp.fuzzy.download.system')
036.573  000.186  000.124: require('blink.cmp.fuzzy.download.files')
036.575  000.237  000.051: require('blink.cmp.fuzzy.download.git')
036.578  000.361  000.124: require('blink.cmp.fuzzy.download')
039.479  000.017  000.017: sourcing nvim_exec2() called at /home/freja/.config/nvim/init.lua:0
039.495  000.001  000.001: sourcing nvim_exec2() called at /home/freja/.config/nvim/init.lua:0
040.422  000.065  000.065: require('treesitter-context.config')
040.438  000.664  000.598: require('treesitter-context')
040.560  000.846  000.182: sourcing /home/freja/.local/share/nvim/lazy/nvim-treesitter-context/plugin/treesitter-context.lua
040.566  000.877  000.031: sourcing nvim_exec2() called at /home/freja/.config/nvim/init.lua:0
040.575  000.003  000.003: sourcing nvim_exec2() called at /home/freja/.config/nvim/init.lua:0
040.589  000.001  000.001: sourcing nvim_exec2() called at /home/freja/.config/nvim/init.lua:0
042.462  000.114  000.114: require('vim.treesitter.language')
042.514  000.048  000.048: require('vim.func')
042.582  000.065  000.065: require('vim.treesitter._range')
042.696  000.074  000.074: require('vim.func._memoize')
042.732  000.577  000.276: require('vim.treesitter.query')
042.775  000.807  000.230: require('vim.treesitter.languagetree')
042.783  001.108  000.301: require('vim.treesitter')
042.923  000.139  000.139: require('vim.treesitter.highlighter')
042.982  000.057  000.057: require('treesitter-context.util')
042.990  002.358  001.054: require('treesitter-context.render')
043.453  000.301  000.301: sourcing /home/freja/.local/share/nvim/lazy/vim-rsi/plugin/rsi.vim
043.458  000.330  000.029: sourcing nvim_exec2() called at /home/freja/.config/nvim/init.lua:0
043.466  000.002  000.002: sourcing nvim_exec2() called at /home/freja/.config/nvim/init.lua:0
043.495  000.001  000.001: sourcing nvim_exec2() called at /home/freja/.config/nvim/init.lua:0
044.071  000.312  000.312: sourcing /home/freja/.local/share/nvim/lazy/vim-sleuth/plugin/sleuth.vim
